DrugID,UniprotID,Scores
DB00525,P10620,0.982750506
DB00226,O00180,0.982750506
DB01070,Q13332,0.982652236
DB00902,P28161,0.982652236
DB06751,Q04206,0.982652236
DB01170,Q8TDS4,0.982652236
DB00419,Q8TDS4,0.982652236
DB00226,O15530,0.982652236
DB00226,P50135,0.982652236
DB06809,P19320,0.982652236
DB00902,Q16873,0.982652236
DB06809,P48051,0.982652236
DB00902,P10620,0.982652236
DB01070,P23469,0.982652236
DB06809,P07327,0.982652236
DB00902,Q04760,0.982652236
DB06809,Q15825,0.982652236
DB00828,P22001,0.982652236
DB01070,P38606,0.982652236
DB06809,Q92806,0.982652236
DB01091,P0AD64,0.982455725
DB01091,Q9F663,0.982455725
DB01158,P23560,0.982455725
DB03085,P08631,0.982455725
DB03085,Q13555,0.982455725
DB03085,P24941,0.982455725
DB03085,Q9Y2U5,0.982455725
DB08936,P10620,0.982455725
DB08936,Q16873,0.982455725
DB08936,P28161,0.982455725
DB08936,Q04760,0.982455725
DB04575,P23469,0.982259253
DB04575,P38606,0.982259253
DB13520,P05141,0.982259253
DB13520,P12235,0.982259253
DB00498,O60488,0.982259253
DB04575,Q13332,0.982259253
DB13520,P12236,0.982259253
DB01599,P54710,0.982161032
DB01082,P78527,0.982161032
DB00452,P12823,0.982161032
DB00226,Q9NPA2,0.982161032
DB03754,Q9Y6F1,0.982161032
DB01082,P12823,0.982161032
DB03754,Q16832,0.982161032
DB12532,P42345,0.982161032
DB00452,P78527,0.982161032
DB15694,Q92206,0.982161032
DB01170,Q08257,0.982161032
DB01421,Q08345,0.982062821
DB00735,Q9F663,0.98196462
DB00828,O00555,0.98196462
DB03754,P37288,0.98196462
DB00735,P0AD64,0.98196462
DB03754,P05412,0.98196462
DB01070,Q16853,0.981866428
DB00552,P69905,0.981866428
DB01153,Q04206,0.981866428
DB06751,P12235,0.981670075
DB01170,Q9NPA2,0.981670075
DB01153,P00747,0.981670075
DB00419,Q9NPA2,0.981670075
DB06751,P12236,0.981670075
DB06751,P05141,0.981670075
DB03085,P57059,0.98147376
DB03085,Q8NG66,0.98147376
DB01616,Q9F663,0.98147376
DB03085,P53667,0.98147376
DB01616,P0AD64,0.98147376
DB00262,Q8TDS4,0.981277485
DB00226,Q92206,0.981277485
DB00670,Q04206,0.981277485
DB00262,O15554,0.981277485
DB04575,Q9UNP4,0.981277485
DB00498,O60427,0.981277485
DB03754,O43613,0.981179362
DB01070,P12236,0.981179362
DB04864,P69905,0.981179362
DB01091,P21430,0.981179362
DB01070,P05141,0.981179362
DB05246,P29034,0.981179362
DB05246,P25815,0.981179362
DB01170,Q99456,0.981179362
DB03754,O43614,0.981179362
DB01070,P95029,0.981179362
DB00961,P69905,0.981179362
DB00226,Q9NR96,0.981179362
DB01599,P9WPS1,0.981179362
DB12532,Q13315,0.981179362
DB00426,Q3MS49,0.981179362
DB01070,P12235,0.981179362
DB01046,K9N7C7,0.981179362
DB00760,P0DTD1,0.981179362
DB00299,Q3MS49,0.981179362
DB04865,P0DTD1,0.981179362
DB01599,P80511,0.981179362
DB04575,P05141,0.980786969
DB00525,Q16739,0.980786969
DB04575,P12235,0.980786969
DB00419,Q92206,0.980786969
DB04575,P12236,0.980786969
DB01170,Q92206,0.980786969
DB04575,P21980,0.980786969
DB06718,P38606,0.980590831
DB15694,P37088,0.980590831
DB06718,P23469,0.980590831
DB15694,P51170,0.980590831
DB15694,P51172,0.980590831
DB03085,O00555,0.980590831
DB00735,P21430,0.980590831
